"Density","X-Momentum","Y-Momentum","Energy","TKE","Omega","Limiter_Density","Limiter_X-Momentum","Limiter_Y-Momentum","Limiter_Energy","Limiter_TKE","Limiter_Omega","Residual_Density","Residual_X-Momentum","Residual_Y-Momentum","Residual_Energy","Residual_TKE","Residual_Omega","Grid_Velx","Grid_Vely","Pressure","Temperature","Pressure_Coefficient","Mach","Entropy","Total_Pressure","MachIs","SoundSpeed","Laminar_Viscosity","Skin_Friction_Coefficient_X","Skin_Friction_Coefficient_Y","Heat_Flux","Y_Plus","Eddy_Viscosity","Sharp_Edge_Dist","Points:0","Points:1","Points:2"
1.9631,429.87,-957.81,2.7172e+06,70.89,16825,0,0,0,0,0,0,-1.5795e-15,4.6502e-13,-1.5741e-12,-1.9981e-09,-1.7402e-12,-9.1094e-11,0,0,7.1385e+05,1218.8,-0.84843,0.77995,7033.9,1.0406e+06,0.83827,685.69,4.6672e-05,0,0,0,0,0.0082706,0.025084,0.26712,-0.00013635,0
1.9434,418.93,-971.38,2.694e+06,74.471,16773,0,0,0,0,0,0,-2.1551e-15,5.0034e-13,-1.1867e-12,-2.6308e-09,-1.6235e-12,2.5547e-11,0,0,7.0495e+05,1215.9,-0.86799,0.79486,7034.4,1.0421e+06,0.85096,684.85,4.6605e-05,0,0,0,0,0.0086228,0.024983,0.26712,0.0058992,0
1.9471,420.35,-969.22,2.6984e+06,73.259,16718,0,0,0,0,0,0,-1.7764e-15,5.3909e-13,-1.5138e-12,-1.8167e-09,-1.4586e-12,1.2514e-11,0,0,7.0661e+05,1216.4,-0.86434,0.79207,7034.3,1.0418e+06,0.84859,685,4.6617e-05,0,0,0,0,0.0085268,0.02487,0.26712,0.0049119,0
1.9493,421.54,-967.95,2.701e+06,72.43,16677,0,0,0,0,0,0,-1.5971e-15,5.9051e-13,-1.3881e-12,-1.9958e-09,-1.4135e-12,3.3417e-12,0,0,7.0757e+05,1216.7,-0.86223,0.79059,7034.2,1.0417e+06,0.84722,685.09,4.6624e-05,0,0,0,0,0.0084657,0.024868,0.26712,0.004266,0
1.9162,410.78,-984.4,2.6613e+06,81.985,17179,0,0,0,0,0,0,-2.2204e-15,-5.6859e-13,-2.1548e-13,-3.5587e-09,-2.3216e-12,6.9925e-11,0,0,6.9272e+05,1211.8,-0.89486,0.81422,7035.2,1.043e+06,0.8684,683.69,4.6513e-05,0,0,0,0,0.0091369,0.026405,0.26712,0.012707,0
1.9188,411.46,-983.39,2.6644e+06,80.933,17105,0,0,0,0,0,0,-2.3507e-15,-7.6125e-13,8.6219e-14,-2.9742e-09,-2.2663e-12,7.8848e-11,0,0,6.9387e+05,1212.1,-0.89233,0.81248,7035.1,1.043e+06,0.86676,683.8,4.6522e-05,0,0,0,0,0.0090692,0.026133,0.26712,0.01193,0
1.9228,412.63,-981.82,2.6694e+06,79.62,17015,0,0,0,0,0,0,-2.4734e-15,-5.8516e-13,1.8941e-13,-3.6583e-09,-2.1587e-12,7.331e-11,0,0,6.9567e+05,1212.7,-0.88837,0.80983,7035,1.0431e+06,0.86419,683.97,4.6535e-05,0,0,0,0,0.0089977,0.025892,0.26712,0.010939,0
1.9687,451.1,-930.42,2.7186e+06,125.42,21060,0,0,0,0,0,0,-1.7764e-15,1.7759e-12,-3.1198e-12,1.2266e-10,-1.5697e-11,-1.0088e-09,0,0,7.1691e+05,1220.6,-0.84172,0.76544,7034.6,1.0314e+06,0.83391,686.19,4.6711e-05,0,0,0,0,0.011598,0.028395,0.26712,-0.011423,0
1.9602,452.18,-919.25,2.7051e+06,192.53,24925,0,0,0,0,0,0,-3.6018e-15,3.5044e-13,-4.3013e-13,-2.3967e-09,-2.9649e-11,-1.4647e-09,0,0,7.1405e+05,1221,-0.84799,0.76152,7036.1,1.0238e+06,0.83798,686.29,4.6719e-05,0,0,0,0,0.015065,0.030268,0.26712,-0.015118,0
1.9692,451.01,-931.11,2.7194e+06,120.89,20819,0,0,0,0,0,0,-1.8064e-15,1.7631e-12,-3.027e-12,1.9002e-11,-1.5017e-11,-9.9359e-10,0,0,7.1707e+05,1220.6,-0.84136,0.76568,7034.4,1.0318e+06,0.83367,686.18,4.671e-05,0,0,0,0,0.011404,0.028304,0.26712,-0.011249,0
1.957,451.16,-914.98,2.7007e+06,225.82,26472,0,0,0,0,0,0,-3.4833e-15,5.54e-13,-5.9254e-13,-2.4365e-09,-3.4814e-11,-1.5379e-09,0,0,7.1326e+05,1221.7,-0.84972,0.75937,7037.2,1.0209e+06,0.8391,686.48,4.6735e-05,0,0,0,0,0.016014,0.030636,0.26712,-0.015752,0
1.9378,445.31,-897.01,2.6745e+06,370,33561,0,0,0,0,0,0,-3.3811e-15,8.7761e-13,-2.5268e-12,-2.3082e-09,-6.1661e-11,-2.0187e-09,0,0,7.076e+05,1224,-0.86217,0.75213,7042.1,1.0064e+06,0.84718,687.13,4.6786e-05,0,0,0,0,0.021345,0.033107,0.26712,-0.019999,0
1.9359,444.88,-895.51,2.6723e+06,381.27,34075,0,0,0,0,0,0,-3.5081e-15,8.204e-13,-2.5133e-12,-2.4366e-09,-6.2933e-11,-2.007e-09,0,0,7.071e+05,1224.3,-0.86326,0.75159,7042.6,1.0053e+06,0.84789,687.22,4.6793e-05,0,0,0,0,0.021507,0.033265,0.26712,-0.020236,0
1.8721,407.25,-995.61,2.6096e+06,116.3,19801,0,0,0,0,0,0,-2.6315e-15,-3.9294e-13,-1.9289e-12,-1.6797e-09,-5.9274e-12,6.6741e-11,0,0,6.7399e+05,1206.7,-0.93601,0.84215,7037.9,1.0429e+06,0.89518,682.27,4.64e-05,0,0,0,0,0.010992,0.034128,0.26712,0.027229,0
1.8788,406.96,-994.78,2.6172e+06,107.89,19119,0,0,0,0,0,0,-2.3702e-15,-1.117e-12,-5.1467e-14,-3.6395e-09,-4.4878e-12,7.6743e-11,0,0,6.7671e+05,1207.3,-0.93002,0.83827,7037.3,1.0431e+06,0.89128,682.43,4.6413e-05,0,0,0,0,0.010589,0.032218,0.26712,0.02431,0
1.8807,406.85,-994.44,2.6194e+06,106.18,18981,0,0,0,0,0,0,-2.7945e-15,-8.5482e-13,-1.7895e-13,-4.0287e-09,-4.5272e-12,8.6558e-11,0,0,6.7749e+05,1207.5,-0.92831,0.8371,7037.2,1.0431e+06,0.89017,682.48,4.6417e-05,0,0,0,0,0.010492,0.031698,0.26712,0.023513,0
1.8862,407.26,-994.13,2.626e+06,99.572,18476,0,0,0,0,0,0,-2.3787e-15,-5.7162e-13,-1.8154e-12,-1.222e-09,-3.7032e-12,4.7069e-11,0,0,6.7973e+05,1207.9,-0.92339,0.83438,7036.7,1.0437e+06,0.88696,682.61,4.6427e-05,0,0,0,0,0.01016,0.030411,0.26712,0.02134,0
1.8719,407.28,-995.63,2.6093e+06,116.5,19818,0,0,0,0,0,0,-2.6208e-15,-3.7487e-13,-1.9912e-12,-1.6717e-09,-5.983e-12,6.6102e-11,0,0,6.739e+05,1206.7,-0.9362,0.84228,7037.9,1.0429e+06,0.89531,682.27,4.64e-05,0,0,0,0,0.011002,0.034186,0.26712,0.027312,0
