"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y"
13743, 3.561926417430000e-01, 9.377405845500000e-03, 6.907374074540974e+05, -8.992094506826587e-01, 2.826057260374889e-04, 1.818900397950696e-04
13744, 3.566969703560000e-01, 9.701935260819999e-03, 6.892836500055870e+05, -9.024035672731072e-01, 2.823697334477841e-04, 1.828582585754527e-04
13745, 3.571993996080000e-01, 1.002936661960000e-02, 6.882942560440615e+05, -9.045774097323404e-01, 2.830572499170979e-04, 1.863433611866442e-04
13746, 3.576987534570000e-01, 1.036143304890000e-02, 6.870245187925956e+05, -9.073672071807204e-01, 2.860541372066593e-04, 1.917873842762264e-04
13747, 3.581955622810000e-01, 1.069725219970000e-02, 6.852066256500337e+05, -9.113613828613123e-01, 2.906275013699087e-04, 1.975464886479691e-04
13748, 3.586906046700000e-01, 1.103561812590000e-02, 6.830137612715591e+05, -9.161794248937480e-01, 2.954221057404873e-04, 2.024596878513127e-04
13749, 3.591847809890000e-01, 1.137518694780000e-02, 6.805827195746216e+05, -9.215207771421692e-01, 2.994231024561187e-04, 2.056625349994731e-04
13750, 3.596790530120000e-01, 1.171454633840000e-02, 6.781602499835296e+05, -9.268432952270759e-01, 3.017553539360459e-04, 2.068355737162197e-04
13751, 3.601738152760000e-01, 1.205311186780000e-02, 6.761432294792931e+05, -9.312749826880468e-01, 3.021940739432649e-04, 2.069299109681977e-04
13752, 3.606683250080000e-01, 1.239195858340000e-02, 6.746357282446866e+05, -9.345871821945821e-01, 3.017098088980381e-04, 2.074478852402580e-04
13753, 3.611617014700000e-01, 1.273235694290000e-02, 6.733977238897595e+05, -9.373072578531262e-01, 3.016288560376933e-04, 2.092872106043084e-04
13754, 3.616532171980000e-01, 1.307533265410000e-02, 6.721494574143400e+05, -9.400498808832084e-01, 3.026799621508250e-04, 2.125303894375629e-04
13755, 3.621426600610000e-01, 1.342114885990000e-02, 6.707396199123069e+05, -9.431474989622729e-01, 3.049265194637024e-04, 2.168488835992809e-04
13756, 3.626299197270000e-01, 1.376991590450000e-02, 6.691499478787777e+05, -9.466402396673130e-01, 3.081876709328560e-04, 2.219874694393546e-04
13757, 3.631150274380000e-01, 1.412154473470000e-02, 6.672328498242568e+05, -9.508523829706793e-01, 3.122447332218562e-04, 2.272075149198087e-04
13758, 3.635987742040000e-01, 1.447491104010000e-02, 6.649200984165213e+05, -9.559338342462003e-01, 3.162900032548695e-04, 2.312097620109938e-04
13759, 3.640822103330000e-01, 1.482856084230000e-02, 6.624104286661403e+05, -9.614479437659504e-01, 3.190558259142710e-04, 2.329193652382112e-04
13760, 3.645662686600000e-01, 1.518120810870000e-02, 6.601317260013152e+05, -9.664545850002741e-01, 3.196203162755063e-04, 2.324620058520906e-04
13761, 3.650508114140000e-01, 1.553303092350000e-02, 6.584065664344589e+05, -9.702450115252166e-01, 3.182289099237053e-04, 2.311542994641324e-04
13762, 3.655351433630000e-01, 1.588497683070000e-02, 6.571494197612992e+05, -9.730071456415242e-01, 3.160501017634341e-04, 2.302293701261740e-04
13763, 3.660185639410000e-01, 1.623799843810000e-02, 6.561709288091281e+05, -9.751570326031600e-01, 3.140974933617140e-04, 2.304143544690561e-04
13764, 3.665003671190000e-01, 1.659304172570000e-02, 6.553068375719503e+05, -9.770555667493884e-01, 3.130210926326501e-04, 2.320834501129887e-04
13765, 3.669799932090000e-01, 1.695083162030000e-02, 6.543606265083315e+05, -9.791345301001644e-01, 3.131513468488104e-04, 2.351459756063500e-04
13766, 3.674572566100000e-01, 1.731157196730000e-02, 6.532364088117278e+05, -9.816045999179853e-01, 3.144005577663939e-04, 2.392783742769663e-04
13767, 3.679320256130000e-01, 1.767538747830000e-02, 6.519509394161847e+05, -9.844289631754360e-01, 3.165782832416949e-04, 2.443365360235004e-04
13768, 3.684041657130000e-01, 1.804240065140000e-02, 6.504977444503726e+05, -9.876218439095727e-01, 3.196849634911975e-04, 2.503367857351396e-04
13769, 3.688735735990000e-01, 1.841268864460000e-02, 6.487526803569930e+05, -9.914560035747709e-01, 3.237617533812961e-04, 2.569522625353997e-04
13770, 3.693406778820000e-01, 1.878565990980000e-02, 6.465881648259199e+05, -9.962117590655981e-01, 3.284248941795116e-04, 2.631987445310683e-04
13771, 3.698063398870000e-01, 1.916020480520000e-02, 6.440923889459352e+05, -1.001695341730966e+00, 3.327629378628685e-04, 2.679758305822734e-04
13772, 3.702714429840000e-01, 1.953521018390000e-02, 6.414566890850537e+05, -1.007486357736910e+00, 3.358100283911638e-04, 2.704294519113837e-04
13773, 3.707368731310000e-01, 1.990956776010000e-02, 6.389129569429943e+05, -1.013075307286186e+00, 3.367220830673271e-04, 2.700689994046789e-04
13774, 3.712032140290000e-01, 2.028254006350000e-02, 6.368817549365771e+05, -1.017538153570412e+00, 3.350656321722300e-04, 2.676481887445974e-04
13775, 3.716698800680000e-01, 2.065484746890000e-02, 6.355534261960149e+05, -1.020456685043559e+00, 3.316261687119579e-04, 2.648733156232455e-04
13776, 3.721360032000000e-01, 2.102756860410000e-02, 6.347164713610370e+05, -1.022295596566659e+00, 3.278545357884550e-04, 2.630808501139125e-04
13777, 3.726007132190000e-01, 2.140177743310000e-02, 6.341481146315248e+05, -1.023544358979459e+00, 3.248227569144069e-04, 2.630910763106893e-04
13778, 3.730631497520000e-01, 2.177851347810000e-02, 6.335997734167149e+05, -1.024749144394829e+00, 3.232216472062612e-04, 2.651876660871612e-04
13779, 3.735228276000000e-01, 2.215832750540000e-02, 6.328403219254765e+05, -1.026417769797431e+00, 3.232354838221450e-04, 2.690414559200482e-04
13780, 3.739796158360000e-01, 2.254132381880000e-02, 6.318183872149886e+05, -1.028663109015792e+00, 3.245886594083420e-04, 2.742172689440970e-04
13781, 3.744333947230000e-01, 2.292758799070000e-02, 6.305657298208480e+05, -1.031415379533045e+00, 3.270522090922375e-04, 2.805680751621810e-04
13782, 3.748840421350000e-01, 2.331720344530000e-02, 6.290358348914497e+05, -1.034776781244618e+00, 3.306273102136035e-04, 2.879911185875241e-04
13783, 3.753316486470000e-01, 2.371000718100000e-02, 6.270478415557406e+05, -1.039144691793792e+00, 3.351980098315940e-04, 2.956941346430404e-04
13784, 3.757770673240000e-01, 2.410498351180000e-02, 6.245641525930918e+05, -1.044601717743505e+00, 3.399804222551914e-04, 3.022459107969373e-04
13785, 3.762213318460000e-01, 2.450094422090000e-02, 6.218004853906892e+05, -1.050673896614003e+00, 3.437672987791258e-04, 3.063547119464188e-04
13786, 3.766654825780000e-01, 2.489671152140000e-02, 6.190142210553125e+05, -1.056795724672817e+00, 3.454388670302618e-04, 3.070337089228429e-04
13787, 3.771104594000000e-01, 2.529122046560000e-02, 6.167984148180656e+05, -1.061664173306296e+00, 3.441992554479750e-04, 3.050501254613531e-04
13788, 3.775554119230000e-01, 2.568542054400000e-02, 6.156799025703900e+05, -1.064121707422858e+00, 3.411323274072106e-04, 3.038700648251479e-04
13789, 3.779980579460000e-01, 2.608186563770000e-02, 6.150610179876216e+05, -1.065481486879479e+00, 3.393061496066931e-04, 3.062135435556008e-04
13790, 3.784375176750000e-01, 2.648149432110000e-02, 6.140188001615155e+05, -1.067771391053409e+00, 3.403754496931888e-04, 3.116813689387179e-04
13791, 3.788740296220000e-01, 2.688399179390000e-02, 6.121214404753008e+05, -1.071940166290294e+00, 3.434825390364617e-04, 3.175572216172576e-04
13792, 3.793093002600000e-01, 2.728747664650000e-02, 6.094803283064374e+05, -1.077743073924195e+00, 3.462210240067232e-04, 3.203077898008981e-04
13793, 3.797451798530000e-01, 2.768993997650000e-02, 6.071653522867732e+05, -1.082829412995735e+00, 3.460503421012779e-04, 3.195161196395579e-04
13794, 3.801808806140000e-01, 2.809222653050000e-02, 6.058834368390553e+05, -1.085645967712826e+00, 3.434384894052579e-04, 3.183787007954750e-04
13795, 3.806147754170000e-01, 2.849608347650000e-02, 6.051865688140835e+05, -1.087177088136110e+00, 3.411797901615560e-04, 3.198046294700200e-04
13796, 3.810456316430000e-01, 2.890280028190000e-02, 6.043519636900908e+05, -1.089010837002367e+00, 3.411172171948856e-04, 3.243757011253476e-04
13797, 3.814733057750000e-01, 2.931247846560000e-02, 6.030425324711350e+05, -1.091887847871548e+00, 3.433284097481513e-04, 3.312414040911624e-04
13798, 3.818978480530000e-01, 2.972501409300000e-02, 6.011950306694108e+05, -1.095947078083450e+00, 3.471891701689639e-04, 3.392563619715767e-04
9807, 3.453073782790000e-01, 3.239690263190000e-03, 7.224558784184345e+05, -8.295193559322168e-01, 2.169356303965449e-04, 9.992127677106000e-05
9803, 3.461063171840000e-01, 3.621449726940000e-03, 7.212667833043099e+05, -8.321319708739586e-01, 2.236678957639681e-04, 1.086016479191016e-04
9797, 3.469004339150000e-01, 4.013196298580000e-03, 7.183010172033602e+05, -8.386481904236091e-01, 2.299735360380018e-04, 1.126805156343379e-04
9769, 3.476966225480000e-01, 4.400654288990000e-03, 7.158865182009849e+05, -8.439531959656346e-01, 2.314396796262871e-04, 1.139489537950511e-04
13728, 3.484891462020000e-01, 4.795396236280000e-03, 7.153886603513324e+05, -8.450470620840090e-01, 2.314919186954950e-04, 1.189146805765503e-04
9705, 3.492715321200000e-01, 5.209666844360000e-03, 7.149190695482553e+05, -8.460788213890895e-01, 2.358893187570856e-04, 1.283148129755298e-04
13910, 3.651745105650000e-01, -1.447378027810000e-03, 4.586137727461396e+05, -1.409218842837878e+00, 3.580876164377199e-04, 3.542710680613733e-04
13911, 3.646927516880000e-01, -1.920808092060000e-03, 4.587851185893884e+05, -1.408842371094819e+00, 3.689155031411183e-04, 3.571079616689782e-04
13912, 3.642040415370000e-01, -2.386786140240000e-03, 4.605454146128597e+05, -1.404974744663442e+00, 3.753006897358199e-04, 3.534717137640175e-04
13913, 3.637097836570000e-01, -2.846602805460000e-03, 4.608900238896052e+05, -1.404217587952600e+00, 3.751349115414825e-04, 3.493412595707082e-04
13914, 3.632161257070000e-01, -3.306774522510000e-03, 4.595651257765968e+05, -1.407128581837963e+00, 3.782371689151413e-04, 3.509949606179883e-04
13915, 3.627205565220000e-01, -3.764581702900000e-03, 4.597655682043385e+05, -1.406688180666134e+00, 3.878016006213340e-04, 3.527082872752614e-04
13916, 3.622180927240000e-01, -4.214492550270000e-03, 4.620384638425603e+05, -1.401694298313998e+00, 3.936534072688781e-04, 3.474188751180387e-04
13917, 3.617093741540000e-01, -4.657000857270000e-03, 4.631724594791656e+05, -1.399202744939610e+00, 3.910148578765954e-04, 3.401053222090639e-04
13918, 3.612007969280000e-01, -5.099337991590000e-03, 4.617131294425511e+05, -1.402409105316760e+00, 3.902432494050930e-04, 3.396270604289964e-04
13919, 3.606926628630000e-01, -5.541840422320000e-03, 4.603567855393447e+05, -1.405389190177563e+00, 4.001761949709151e-04, 3.445846221514686e-04
13920, 3.601798068410000e-01, -5.978494442600000e-03, 4.611289746885736e+05, -1.403692578287427e+00, 4.153357043992312e-04, 3.474652871787894e-04
13921, 3.596596491760000e-01, -6.406048323570000e-03, 4.639502447502467e+05, -1.397493837555705e+00, 4.251579680439410e-04, 3.429991681806107e-04
13922, 3.591319459250000e-01, -6.823863574950000e-03, 4.674699977986289e+05, -1.389760428094835e+00, 4.234055710173291e-04, 3.313374893313925e-04
13923, 3.585997151350000e-01, -7.235503361580000e-03, 4.689056737935609e+05, -1.386606039088182e+00, 4.135319345512043e-04, 3.204519643899007e-04
13924, 3.580684540080000e-01, -7.647979067470000e-03, 4.675277393545724e+05, -1.389633561496844e+00, 4.088070082335236e-04, 3.179800374672393e-04
13925, 3.575381261440000e-01, -8.061233107730000e-03, 4.662169186770457e+05, -1.392513625208628e+00, 4.171969557974209e-04, 3.213119641459511e-04
13926, 3.570033616230000e-01, -8.468279698780000e-03, 4.671875566113285e+05, -1.390380992469661e+00, 4.318420985375950e-04, 3.224016605633324e-04
13927, 3.564613316160000e-01, -8.865138852650001e-03, 4.708290432506700e+05, -1.382380116601038e+00, 4.394512523285088e-04, 3.145423698349129e-04
13928, 3.558461976570000e-01, -9.296533331520000e-03, 4.749391548533089e+05, -1.373349603517830e+00, 4.322178131640646e-04, 2.993937541805887e-04
13929, 3.552260407770000e-01, -9.720814742280001e-03, 4.760375540390083e+05, -1.370936260724249e+00, 4.169727571863069e-04, 2.866076158529163e-04
13930, 3.546076917590000e-01, -1.014782449270000e-02, 4.737562896928718e+05, -1.375948530345058e+00, 4.099962710414237e-04, 2.835471397837040e-04
13931, 3.539898935240000e-01, -1.057571524430000e-02, 4.711588515761836e+05, -1.381655479733127e+00, 4.199293033482741e-04, 2.876820760868879e-04
13932, 3.533677304930000e-01, -1.099728802960000e-02, 4.703621445524811e+05, -1.383405960960062e+00, 4.410278052403668e-04, 2.924871382095694e-04
13933, 3.527372983760000e-01, -1.140642923970000e-02, 4.719005686863538e+05, -1.380025819345528e+00, 4.629168704772689e-04, 2.926720472218089e-04
13934, 3.520973145560000e-01, -1.180048889960000e-02, 4.759144734444816e+05, -1.371206686694787e+00, 4.760594294773360e-04, 2.845232559290555e-04
13935, 3.514471404590000e-01, -1.217750929500000e-02, 4.816802289519326e+05, -1.358538483108493e+00, 4.725365076427854e-04, 2.673221613078058e-04
13936, 3.507890625570000e-01, -1.254058992090000e-02, 4.862186852741984e+05, -1.348566834365556e+00, 4.519026493977884e-04, 2.474295774578013e-04
13937, 3.501286596370000e-01, -1.289941511500000e-02, 4.865806796165751e+05, -1.347771480136541e+00, 4.275599331231643e-04, 2.342924680617918e-04
13938, 3.494708556470000e-01, -1.326293531960000e-02, 4.833773245579564e+05, -1.354809717187925e+00, 4.179645614555140e-04, 2.317117155311949e-04
13939, 3.488140545960000e-01, -1.362820749930000e-02, 4.798428902449952e+05, -1.362575383522738e+00, 4.297376588610318e-04, 2.356919837162226e-04
13940, 3.481530424730000e-01, -1.398569720640000e-02, 4.784507150032177e+05, -1.365634195046716e+00, 4.554778003244933e-04, 2.393399003890886e-04
13941, 3.474837268650000e-01, -1.432725475560000e-02, 4.798641854365806e+05, -1.362528594889043e+00, 4.820148008983822e-04, 2.372814317625151e-04
13942, 3.468049015920000e-01, -1.464934653390000e-02, 4.842589401978095e+05, -1.352872679379769e+00, 4.967990406783796e-04, 2.260323870168532e-04
13943, 3.461161592090000e-01, -1.494946727290000e-02, 4.905636199873729e+05, -1.339020380749110e+00, 4.902052107358155e-04, 2.064069623771818e-04
13944, 3.454202285960000e-01, -1.523238021190000e-02, 4.949908292391540e+05, -1.329293158002984e+00, 4.638460748754669e-04, 1.869253341054822e-04
13945, 3.447226668320000e-01, -1.551103077910000e-02, 4.942297414261642e+05, -1.330965378642506e+00, 4.367812957927513e-04, 1.768642729627309e-04
13946, 3.440278487490000e-01, -1.579619155570000e-02, 4.897078225238806e+05, -1.340900692268068e+00, 4.309149014677210e-04, 1.768705867188146e-04
13947, 3.433331504380000e-01, -1.608136283080000e-02, 4.857370169650612e+05, -1.349625129708348e+00, 4.501422434910235e-04, 1.798150561035982e-04
13948, 3.426332990050000e-01, -1.635326222410000e-02, 4.849162916950812e+05, -1.351428382516256e+00, 4.816596504136186e-04, 1.784133892715350e-04
13949, 3.419253266330000e-01, -1.660284021910000e-02, 4.876865020043651e+05, -1.345341827488124e+00, 5.074461548050836e-04, 1.686250481836604e-04
13950, 3.412089223530000e-01, -1.682658452500000e-02, 4.937313922892514e+05, -1.332060324190459e+00, 5.115023291080708e-04, 1.496656765674300e-04
13951, 3.404850258490000e-01, -1.702427249620000e-02, 4.997658256434980e+05, -1.318801796290564e+00, 4.884341834708505e-04, 1.289334252755195e-04
