"Density","X-Momentum","Y-Momentum","Energy","TKE","Omega","Limiter_Density","Limiter_X-Momentum","Limiter_Y-Momentum","Limiter_Energy","Limiter_TKE","Limiter_Omega","Residual_Density","Residual_X-Momentum","Residual_Y-Momentum","Residual_Energy","Residual_TKE","Residual_Omega","Grid_Velx","Grid_Vely","Pressure","Temperature","Pressure_Coefficient","Mach","Entropy","Total_Pressure","MachIs","SoundSpeed","Laminar_Viscosity","Skin_Friction_Coefficient_X","Skin_Friction_Coefficient_Y","Heat_Flux","Y_Plus","Eddy_Viscosity","Sharp_Edge_Dist","Points:0","Points:1","Points:2"
1.5686,418.15,137.15,1.9221e+06,306.71,23760,0,0,0,0,0,0,-2.6118e-16,-4.8013e-13,-3.1096e-13,1.0869e-10,-1.3839e-11,-2.5445e-11,0,-297.67,5.4494e+05,1164.5,-1.2196,0.4186,7054.4,6.0996e+05,1.0852,670.22,4.5443e-05,0,0,0,0,0.02025,0.016113,0.41172,0.036747,0
1.5673,419.27,139.76,1.9206e+06,308.89,23569,0,0,0,0,0,0,-6.2331e-16,-5.3471e-13,-5.4412e-13,-5.2212e-10,-1.3228e-11,-1.8046e-11,0,-297.67,5.4433e+05,1164.2,-1.2209,0.4208,7054.4,6.0999e+05,1.0861,670.13,4.5436e-05,0,0,0,0,0.02054,0.016297,0.41172,0.035924,0
1.5671,419.38,139.96,1.9205e+06,309.07,23561,0,0,0,0,0,0,-5.9633e-16,-5.5224e-13,-5.3838e-13,-4.8916e-10,-1.3323e-11,-1.8752e-11,0,-297.67,5.4428e+05,1164.1,-1.221,0.42099,7054.4,6.0999e+05,1.0862,670.13,4.5435e-05,0,0,0,0,0.020558,0.016312,0.41172,0.035844,0
1.5726,415.4,128.16,1.9268e+06,299.79,24495,0,0,0,0,0,0,-2.3192e-16,-1.4741e-13,-3.1241e-13,7.1953e-11,-1.6736e-11,-3.8488e-11,0,-297.67,5.4682e+05,1165.5,-1.2154,0.41226,7054.5,6.1002e+05,1.0823,670.52,4.5466e-05,0,0,0,0,0.019248,0.015689,0.41172,0.039724,0
1.5725,415.51,128.67,1.9266e+06,300.19,24453,0,0,0,0,0,0,-2.0607e-17,-7.3373e-14,-2.4289e-13,3.854e-10,-1.6721e-11,-3.812e-11,0,-297.67,5.4674e+05,1165.4,-1.2156,0.41256,7054.5,6.1003e+05,1.0825,670.5,4.5465e-05,0,0,0,0,0.019307,0.015699,0.41172,0.039537,0
1.5707,416.54,132.76,1.9245e+06,303.21,24104,0,0,0,0,0,0,5.3785e-17,-3.2434e-13,-1.062e-13,6.4409e-10,-1.5131e-11,-3.4459e-11,0,-297.67,5.4592e+05,1165,-1.2174,0.4152,7054.4,6.0996e+05,1.0837,670.37,4.5455e-05,0,0,0,0,0.019762,0.015854,0.41172,0.038158,0
1.5749,413.49,120.8,1.9295e+06,296.91,25397,0,0,0,0,0,0,3.2075e-16,-3.5604e-13,-2.8771e-13,4.0674e-10,-1.7046e-11,-9.4402e-11,0,-297.67,5.4795e+05,1166.2,-1.2129,0.40781,7054.7,6.0987e+05,1.0806,670.72,4.5483e-05,0,0,0,0,0.018412,0.015729,0.41172,0.041776,0
1.5749,413.53,120.98,1.9295e+06,297,25375,0,0,0,0,0,0,2.8385e-16,-3.6829e-13,-3.0827e-13,3.324e-10,-1.7019e-11,-9.3046e-11,0,-297.67,5.4793e+05,1166.2,-1.213,0.4079,7054.7,6.0988e+05,1.0806,670.72,4.5482e-05,0,0,0,0,0.018435,0.015726,0.41172,0.041718,0
1.5755,411.48,113.11,1.9302e+06,299.31,27003,0,0,0,0,0,0,4.934e-16,-1.2084e-13,-2.7966e-13,1.2047e-09,-1.9747e-11,-2.688e-10,0,-297.67,5.4849e+05,1166.9,-1.2117,0.40371,7055.2,6.092e+05,1.0798,670.92,4.5498e-05,0,0,0,0,0.017464,0.01597,0.41172,0.043908,0
1.5756,411.61,113.62,1.9303e+06,299.22,26893,0,0,0,0,0,0,5.0405e-16,-1.2239e-13,-2.6072e-13,1.3719e-09,-1.9574e-11,-2.573e-10,0,-297.67,5.4849e+05,1166.9,-1.2118,0.40396,7055.2,6.0927e+05,1.0798,670.91,4.5497e-05,0,0,0,0,0.017538,0.015944,0.41172,0.043741,0
1.5739,408.23,104.29,1.9284e+06,314.23,30360,0,0,0,0,0,0,4.4965e-17,3.5646e-14,-2.7284e-13,-5.525e-10,-2.5821e-11,-6.334e-10,0,-297.67,5.4836e+05,1167.9,-1.212,0.39886,7056.3,6.0759e+05,1.08,671.2,4.552e-05,0,0,0,0,0.016293,0.016504,0.41172,0.046106,0
1.5742,408.66,105.35,1.9289e+06,312.67,29960,0,0,0,0,0,0,6.3055e-17,4.2341e-14,-3.1159e-13,-8.3198e-10,-2.5169e-11,-5.9066e-10,0,-297.67,5.4844e+05,1167.8,-1.2119,0.39945,7056.2,6.0785e+05,1.0799,671.17,4.5518e-05,0,0,0,0,0.016457,0.016419,0.41172,0.045793,0
1.5689,402.58,93.957,1.9233e+06,347.64,36352,0,0,0,0,0,0,-3.8527e-16,-2.2937e-13,8.3464e-14,-3.6134e-10,-3.514e-11,-1.1476e-09,0,-297.67,5.4741e+05,1169.5,-1.2141,0.39231,7058.7,6.046e+05,1.0814,671.67,4.5558e-05,0,0,0,0,0.015009,0.017287,0.41172,0.048266,0
1.5697,403.5,95.474,1.9242e+06,343.13,35486,0,0,0,0,0,0,-4.2489e-16,-2.9241e-13,1.7188e-13,-2.6315e-10,-3.3748e-11,-1.0741e-09,0,-297.67,5.4759e+05,1169.3,-1.2137,0.39334,7058.4,6.0511e+05,1.0812,671.61,4.5553e-05,0,0,0,0,0.015232,0.017145,0.41172,0.047891,0
1.5604,394.24,81.9,1.9159e+06,399.85,45612,0,0,0,0,0,0,-6.0318e-16,9.003e-14,7.9944e-14,1.0264e-10,-4.8573e-11,-1.6702e-09,0,-297.67,5.4596e+05,1172.8,-1.2173,0.38366,7063.2,6.0054e+05,1.0836,672.61,4.5633e-05,0,0,0,0,0.013684,0.018222,0.41172,0.050413,0
1.5618,395.61,83.841,1.9172e+06,392.1,44165,0,0,0,0,0,0,-5.6457e-16,-5.2855e-14,-8.8881e-14,-6.1431e-11,-4.6315e-11,-1.5806e-09,0,-297.67,5.4622e+05,1172.3,-1.2167,0.38509,7062.5,6.0124e+05,1.0833,672.47,4.5621e-05,0,0,0,0,0.013937,0.018044,0.41172,0.050012,0
1.5487,385.99,69.618,1.9078e+06,455.56,57129,0,0,0,0,0,0,-9.6907e-16,1.2528e-13,3.2206e-13,1.2114e-09,-6.614e-11,-2.0835e-09,0,-297.67,5.4421e+05,1177.9,-1.2212,0.37574,7069.8,5.9643e+05,1.0863,674.07,4.5748e-05,0,0,0,0,0.012356,0.019376,0.41172,0.052615,0
1.5512,387.78,72.258,1.9096e+06,444.3,54742,0,0,0,0,0,0,-9.2458e-16,8.722e-14,4.8323e-13,1.1615e-09,-6.2208e-11,-1.978e-09,0,-297.67,5.4459e+05,1176.8,-1.2203,0.37749,7068.5,5.9734e+05,1.0857,673.77,4.5725e-05,0,0,0,0,0.01268,0.019095,0.41172,0.052082,0
1.5364,381.68,60.649,1.9005e+06,493.52,68033,0,0,0,0,0,0,-2.2794e-15,-8.0982e-15,4.9239e-13,-2.4276e-10,-8.6414e-11,-2.2632e-09,0,-297.67,5.4239e+05,1183.3,-1.2251,0.37234,7076.9,5.9354e+05,1.0891,675.62,4.5872e-05,0,0,0,0,0.011155,0.020739,0.41172,0.054876,0
1.5402,383.24,63.563,1.9029e+06,481.4,64684,0,0,0,0,0,0,-1.8013e-15,1.7347e-13,2.2881e-13,1.7707e-10,-8.0495e-11,-2.2017e-09,0,-297.67,5.4298e+05,1181.7,-1.2239,0.37366,7074.7,5.9454e+05,1.0882,675.15,4.5834e-05,0,0,0,0,0.01156,0.020281,0.41172,0.054114,0
