SENS_AOA=0
"Point","Sensitivity","PsiRho","Phi_x","Phi_y","PsiE","x_coord","y_coord"," x_Sens","y_Sens"
13922, -7.596788087598318e-02, -2.989018454422992e-02, -5.182697564830066e-06, 6.556710549492476e-06, 1.963504747940934e-08, 3.591319459250000e-01, -6.823863574950000e-03, 8.601259528238567e-02, -2.915449809731111e-02
13923, -2.869797876443162e-02, -2.995765892895893e-02, -5.172085036497603e-06, 6.612722811269325e-06, 1.961154216346840e-08, 3.585997151350000e-01, -7.235503361580000e-03, 3.315652742135333e-02, -1.061250049775459e-02
13924, -2.875117374980883e-02, -2.999174499856399e-02, -5.169698567041622e-06, 6.580712084860518e-06, 1.955646492642889e-08, 3.580684540080000e-01, -7.647979067470000e-03, 2.019882713796321e-02, -2.071344004848330e-02
13925, -7.825658900330920e-02, -3.001391944435318e-02, -5.152083401668431e-06, 6.614967305370651e-06, 1.955209027855953e-08, 3.575381261440000e-01, -8.061233107730000e-03, 6.072038161079391e-02, -5.201087211949968e-02
13926, -1.307775108412266e-01, -3.007085668941209e-02, -5.109691848375154e-06, 6.763200968194586e-06, 1.957320864049963e-08, 3.570033616230000e-01, -8.468279698780000e-03, 1.133583636965227e-01, -7.857308323477381e-02
13927, -1.476696695745879e-01, -3.191733861629254e-02, -5.354698801806322e-06, 7.395834467505933e-06, 2.076679755562606e-08, 3.564613316160000e-01, -8.865138852650001e-03, 1.366811028828027e-01, -8.376746436641722e-02
13928, -1.084146109938696e-01, -3.379868303494332e-02, -5.604384819156102e-06, 8.006496600677580e-06, 2.192893267240024e-08, 3.558461976570000e-01, -9.296533331520000e-03, 1.000809182231887e-01, -6.255889889153385e-02
13929, -5.766247731643043e-02, -3.387388811763969e-02, -5.592655275914105e-06, 8.056012774164473e-06, 2.190770581367002e-08, 3.552260407770000e-01, -9.720814742280001e-03, 4.051435260440333e-02, -4.212270813409474e-02
13930, -4.946189936629897e-02, -3.389610150484573e-02, -5.598583756818014e-06, 8.011298001777616e-06, 2.186304240187025e-08, 3.546076917590000e-01, -1.014782449270000e-02, 1.978153264203162e-02, -4.645760773117075e-02
13931, -7.587721314199741e-02, -3.392285983058443e-02, -5.573125048959064e-06, 8.044202163994876e-06, 2.185930165851099e-08, 3.539898935240000e-01, -1.057571524430000e-02, 4.367689363515831e-02, -6.205324801282259e-02
13932, -1.234514692451917e-01, -3.401476501431129e-02, -5.504632783683450e-06, 8.199528787193576e-06, 2.188121609080470e-08, 3.533677304930000e-01, -1.099728802960000e-02, 9.240445767474074e-02, -8.685073728724405e-02
13933, -1.539379488018850e-01, -3.407753432043685e-02, -5.402343171135225e-06, 8.439781727357563e-06, 2.194143592229379e-08, 3.527372983760000e-01, -1.140642923970000e-02, 1.345762105763601e-01, -9.703992566075939e-02
13934, -1.516806669992747e-01, -3.420593061811909e-02, -5.275042255069546e-06, 8.722355105214856e-06, 2.198032981817153e-08, 3.520973145560000e-01, -1.180048889960000e-02, 1.522115111306864e-01, -8.573520699727684e-02
13935, -1.288971176022698e-01, -3.434553915203326e-02, -5.148914350360151e-06, 8.998815542455499e-06, 2.202185585219910e-08, 3.514471404590000e-01, -1.217750929500000e-02, 1.372858947054827e-01, -7.042851757252669e-02
13936, -8.453807881773225e-02, -3.447079455691411e-02, -5.072933413083275e-06, 9.165971264078514e-06, 2.202156338751941e-08, 3.507890625570000e-01, -1.254058992090000e-02, 8.168928595505759e-02, -5.165314820579279e-02
13937, -4.864037352426648e-02, -3.452146392165299e-02, -5.077692778592101e-06, 9.168913707554314e-06, 2.198897167498958e-08, 3.501286596370000e-01, -1.289941511500000e-02, 2.333263278495704e-02, -4.267875877725542e-02
13938, -4.360004840233015e-02, -3.452288186167306e-02, -5.106679574985123e-06, 9.101564901927644e-06, 2.194560549225161e-08, 3.494708556470000e-01, -1.326293531960000e-02, -1.056683940460197e-03, -5.043762462617925e-02
13939, -7.601891323505855e-02, -3.453240608428206e-02, -5.069417448837499e-06, 9.131895176389196e-06, 2.194633794591264e-08, 3.488140545960000e-01, -1.362820749930000e-02, 2.973717184859515e-02, -7.039216086578638e-02
13940, -1.099630201311678e-01, -3.462052370997330e-02, -4.948351222371509e-06, 9.297472669497756e-06, 2.196946805107287e-08, 3.481530424730000e-01, -1.398569720640000e-02, 7.518255956269890e-02, -8.471401430410497e-02
13941, -1.578595816653389e-01, -3.472587224338922e-02, -4.767497468627099e-06, 9.550294407856717e-06, 2.201610598412557e-08, 3.474837268650000e-01, -1.432725475560000e-02, 1.297858459626944e-01, -1.120603693467108e-01
13942, -1.623262704355484e-01, -3.481947048207225e-02, -4.548650752421037e-06, 9.860419216734183e-06, 2.210128787805922e-08, 3.468049015920000e-01, -1.464934653390000e-02, 1.568986014588117e-01, -1.069524067145295e-01
13943, -1.130256868772972e-01, -3.497797693505299e-02, -4.327411204151880e-06, 1.014643717049645e-05, 2.212505706254351e-08, 3.461161592090000e-01, -1.494946727290000e-02, 1.289751887617506e-01, -6.832984137710453e-02
13944, -6.818933045818003e-02, -3.509609621617283e-02, -4.204362218168671e-06, 1.030327694631914e-05, 2.211747848290312e-08, 3.454202285960000e-01, -1.523238021190000e-02, 6.630451385219141e-02, -4.679806521457232e-02
13945, -2.111108947290594e-02, -3.512713770040592e-02, -4.223046984697214e-06, 1.028885568706494e-05, 2.207508309636249e-08, 3.447226668320000e-01, -1.551103077910000e-02, -8.247811083990638e-03, -2.611592543810504e-02
13946, -2.410014048580297e-02, -3.513021542498392e-02, -4.257335313398053e-06, 1.022796183683438e-05, 2.203196006582584e-08, 3.440278487490000e-01, -1.579619155570000e-02, -2.407313675138854e-02, -3.593216823978668e-02
13947, -5.639359231026705e-02, -3.514795583425432e-02, -4.174046225746416e-06, 1.027652928293430e-05, 2.201844487831779e-08, 3.433331504380000e-01, -1.608136283080000e-02, 9.186267366059488e-03, -5.705694036755843e-02
13948, -1.158437882498423e-01, -3.521318842079058e-02, -3.941955116008140e-06, 1.047014904733278e-05, 2.205855532179374e-08, 3.426332990050000e-01, -1.635326222410000e-02, 8.218093505707182e-02, -9.309472270533578e-02
13949, -1.416530810207920e-01, -3.529441912541214e-02, -3.629762194455944e-06, 1.073536839062153e-05, 2.212619516086428e-08, 3.419253266330000e-01, -1.660284021910000e-02, 1.341181676596414e-01, -1.047016457613049e-01
