"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y"
13626, 3.684664489520000e-01, 1.951942898790000e-03, 4.308930941261008e+05, -1.470125206254612e+00, 2.269669874791256e-04, 2.472209342132542e-04
13627, 3.680095152630000e-01, 1.452949233010000e-03, 4.282992281259265e+05, -1.475824307183069e+00, 2.379071524825671e-04, 2.583773764880877e-04
13628, 3.675499479210000e-01, 9.565834509240000e-04, 4.256922590903674e+05, -1.481552197386347e+00, 2.460128463482180e-04, 2.624861687688274e-04
13629, 3.670844737020000e-01, 4.659657526630000e-04, 4.232761676419579e+05, -1.486860701763961e+00, 2.567693988215551e-04, 2.668015429457397e-04
13630, 3.666121578410000e-01, -1.784668542210000e-05, 4.210384843898805e+05, -1.491777217381441e+00, 2.648204223333836e-04, 2.676967465660537e-04
13631, 3.661335882280000e-01, -4.952476821010000e-04, 4.188008885098670e+05, -1.496693541029787e+00, 2.681588112322044e-04, 2.664227990837794e-04
13632, 3.656532074600000e-01, -9.705889932900000e-04, 4.163542501256361e+05, -1.502069161469020e+00, 2.684252363509977e-04, 2.664808314735043e-04
13633, 3.651745105650000e-01, -1.447378027810000e-03, 4.137090357999931e+05, -1.507881082138101e+00, 2.790552920745538e-04, 2.760810813702770e-04
13634, 3.646927516880000e-01, -1.920808092060000e-03, 4.113333703772053e+05, -1.513100764656706e+00, 2.862184644595053e-04, 2.770577315533982e-04
13635, 3.642040415370000e-01, -2.386786140240000e-03, 4.094716348858167e+05, -1.517191268355356e+00, 2.910981190403839e-04, 2.741666983962004e-04
13636, 3.637097836570000e-01, -2.846602805460000e-03, 4.075128794156096e+05, -1.521494939060831e+00, 2.869987145027304e-04, 2.672651607059800e-04
13637, 3.632161257070000e-01, -3.306774522510000e-03, 4.052187438971678e+05, -1.526535488519546e+00, 2.881947367682172e-04, 2.674377575646626e-04
13638, 3.627205565220000e-01, -3.764581702900000e-03, 4.031799989186019e+05, -1.531014907810848e+00, 2.909108278171989e-04, 2.645854469523509e-04
13639, 3.622180927240000e-01, -4.214492550270000e-03, 4.014792737627575e+05, -1.534751648380357e+00, 2.900533032405161e-04, 2.559865873770077e-04
13640, 3.617093741540000e-01, -4.657000857270000e-03, 3.996962090702580e+05, -1.538669300889716e+00, 2.761647155628202e-04, 2.402084925348547e-04
13641, 3.612007969280000e-01, -5.099337991590000e-03, 3.976598622661307e+05, -1.543143451042917e+00, 2.649305121911398e-04, 2.305679117078686e-04
13642, 3.606926628630000e-01, -5.541840422320000e-03, 3.956749935345718e+05, -1.547504496382242e+00, 2.593938947175054e-04, 2.233594809559470e-04
13643, 3.601798068410000e-01, -5.978494442600000e-03, 3.939271161574101e+05, -1.551344837241154e+00, 2.504000107994308e-04, 2.094818979934469e-04
13644, 3.596596491760000e-01, -6.406048323570000e-03, 3.923431336235534e+05, -1.554825077287770e+00, 2.375651508737520e-04, 1.916573491808028e-04
13645, 3.591319459250000e-01, -6.823863574950000e-03, 3.907449987414476e+05, -1.558336412102212e+00, 2.156647688172674e-04, 1.687692083631652e-04
13646, 3.585997151350000e-01, -7.235503361580000e-03, 3.888301692753632e+05, -1.562543570986775e+00, 1.825257682212425e-04, 1.414418962389237e-04
13647, 3.580684540080000e-01, -7.647979067470000e-03, 3.866153071298233e+05, -1.567409945313437e+00, 1.555586290966192e-04, 1.209972865245980e-04
